designation,1961,1964,1966,1975,1979,1983,1987,1990,1996,2004,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024
res-low,5743,5303,4972,,,,,,,,,,,,,,,,,,
res-low-1-10,,,,5164,4967,5511,4927,5048,4951,5408,5568,5568,5625,5620,5625,5551,5603,5606,5572,5489,5718
res-low-11-15,,,,70,10,175,186,164,170,195,198,193,195,193,193,192,192,192,192,192,196
res-lowmed,137,132,126,1429,1458,1219,1192,1220,1227,1215,1223,1217,1214,1208,1200,1195,1196,1199,1195,1201,1211
res-med,,,,282,220,322,316,316,324,352,351,350,338,338,340,346,342,342,295,298,299
res-highmed,1399,1534,1476,58,139,168,157,140,126,134,126,126,124,127,127,129,129,129,71,73,70
res-high,,,,87,57,92,119,88,99,94,34,34,32,35,35,34,34,33,57,58,57
svc-commercial,,,,270,223,206,214,226,219,234,211,210,208,207,208,206,205,202,202,202,213
com-neighborhood,98,148,137,,,,,,,,,,,,,,,,,,
com-general,404,248,403,108,180,85,26,24,2,2,1,1,0,0,0,,,,,,
com-office,39,61,26,,,,,,,,,,,,,,,,,,
svc-industry,,,,161,184,147,147,149,146,84,60,60,59,59,59,59,57,56,57,57,55
industrial,333,318,295,,,,,,,,,,,,,,,,,,
public,597,1399,177,2159,2108,2563,2105,2439,1293,2657,2646,2647,2645,2639,2642,2635,2629,2637,2630,2650,2661
semi-public,1951,1336,2623,846,570,556,553,552,551,549,547,548,548,549,549,547,547,547,547,547,550
greenway,25,108,81,,,,,,,,,,,,,,,,,,
gov-community,1591,1614,1633,1856,1985,1481,1704,1501,2158,1602,1617,1618,1547,1545,1549,1615,1545,1551,1557,1664,1550
oah-low,,,,0,38,44,129,137,131,190,195,198,205,203,205,201,200,204,204,207,219
oah-med,,,,11,26,54,39,41,45,56,93,94,97,98,96,97,100,99,99,100,98
oah-high,,,,62,101,86,73,79,72,92,198,196,197,196,198,200,194,197,275,273,277
mu-med,,,,,,,24,28,27,28,30,30,29,29,29,29,29,29,29,29,30
mu-highmed,,,,,,,47,48,56,37,38,40,41,40,46,46,46,46,48,48,44
mu-coord,,,,,,,30,0,30,30,30,30,30,30,30,30,30,29,29,29,30
apt-office,42,21,57,,,,,,,,,,,,,,,,,,
TOTAL,12359,12221,12007,12562,12266,12709,11987,12199,11627,12960,13166,13161,13136,13115,13129,13114,13076,13099,13060,13117,13276
