year,code,name,du_per_acre,far,hotel,source,notes
1961,res-low,"Low (single family, 0-8 u/ac)",0-8 du/ac gross,,,sheet,single family
1961,res-lowmed,"Low Medium (two family, 9-13)",9-13 du/ac gross,,,sheet,two family
1961,res-highmed,"High Medium (multi-family, 14-39)",14-39 du/ac gross,,,sheet,multi-family
1961,public,Public open space,,,,sheet,"open land, playgrounds, schools, parks"
1961,semi-public,Semi-public open space,,,,sheet,"open land, institutions, parks, rec facilities"
1961,greenway,Private greenway,,,,sheet,private greenway
1961,com-neighborhood,Neighborhood Shopping,,,,sheet,neighborhood shopping
1961,com-general,General Business (incl. Motel),,,,sheet,"general business; Motel merged (same red, M symbol)"
1961,com-office,Office Buildings,,,,sheet,office buildings
1961,industrial,Industrial,,,,sheet,
1961,gov-community,Government and Community Facilities,,,,sheet,government and community facilities
1961,apt-office,Apartments & Offices,,,,sheet,apartments & offices; no density printed
1964,res-low,"Low (single family, 0-8 u/ac)",0-8 du/ac gross,,,sheet,single family
1964,res-lowmed,"Low Medium (two family, 9-13)",9-13 du/ac gross,,,sheet,two family
1964,res-highmed,"High Medium (multi-family, 14-39)",14-39 du/ac gross,,,sheet,multi-family
1964,public,Public open space,,,,sheet,"open land, playgrounds, schools, parks"
1964,semi-public,Semi-public open space,,,,sheet,"open land, institutions, parks, rec facilities"
1964,greenway,Private greenway,,,,sheet,private greenway
1964,com-neighborhood,Neighborhood Shopping,,,,sheet,neighborhood shopping
1964,com-general,General Business (incl. Motel),,,,sheet,"general business; Motel merged (same red, M symbol)"
1964,com-office,Office Buildings,,,,sheet,office buildings
1964,industrial,Industrial,,,,sheet,
1964,gov-community,Government and Community Facilities,,,,sheet,government and community facilities
1964,apt-office,Apartments & Offices,,,,sheet,apartments & offices; no density printed
1966,res-low,"Low (single family, 0-8 u/ac)",0-8 du/ac gross,,,sheet,single family
1966,res-lowmed,"Low Medium (two family, 9-13)",9-13 du/ac gross,,,sheet,two family
1966,res-highmed,"High Medium (multi-family, 14-39)",14-39 du/ac gross,,,sheet,multi-family
1966,public,Public open space,,,,sheet,"open land, playgrounds, schools, parks"
1966,semi-public,Semi-public open space,,,,sheet,"open land, institutions, parks, rec facilities"
1966,greenway,Private greenway,,,,sheet,private greenway
1966,com-neighborhood,Neighborhood Shopping,,,,sheet,neighborhood shopping
1966,com-general,General Business (incl. Motel),,,,sheet,"general business; Motel merged (same red, M symbol)"
1966,com-office,Office Buildings,,,,sheet,office buildings
1966,industrial,Industrial,,,,sheet,
1966,gov-community,Government and Community Facilities,,,,sheet,government and community facilities
1966,apt-office,Apartments & Offices,,,,sheet,apartments & offices; no density printed
1975,res-low-1-10,Residential Low (1-10 u/ac),1-10 du/ac,,,sheet,
1975,res-low-11-15,Residential Low (11-15 u/ac),11-15 du/ac,,,sheet,
1975,res-lowmed,Residential Low Medium (16-30),16-30 du/ac,,,sheet,
1975,res-med,Residential Medium (31-72),31-72 du/ac,,,sheet,
1975,res-highmed,Residential High Medium (73-90),73-90 du/ac apt,,72-135 du/ac hotel,sheet,
1975,res-high,Residential High (91-135),91-135 du/ac apt,,136-210 du/ac hotel,sheet,
1975,public,Public,,,,sheet,"parks, public schools, parkways, libraries"
1975,semi-public,Semi-Public,,,,sheet,"country clubs, churches, private schools/cemeteries"
