year	side	url
2024	front	https://www.arlingtonva.us/files/sharedassets/public/v/1/projects/documents/glup/glup_front_dec_2024.pdf
2024	back	https://www.arlingtonva.us/files/sharedassets/public/v/1/projects/documents/glup/glup_back_dec_2024.pdf
2023	front	https://www.arlingtonva.us/files/sharedassets/public/v/1/projects/documents/glup/glup_dec_23_front.pdf
2023	back	https://www.arlingtonva.us/files/sharedassets/public/v/1/projects/documents/glup/glup_dec_23_back.pdf
2022	front	https://www.arlingtonva.us/files/sharedassets/public/v/1/projects/documents/glup/glup_map2022_front.pdf
2022	back	https://www.arlingtonva.us/files/sharedassets/public/v/1/projects/documents/glup/glup_map2022_back.pdf
2021	front	https://www.arlingtonva.us/files/sharedassets/public/projects/documents/glup/glup_map_2021_front.pdf
2021	back	https://www.arlingtonva.us/files/sharedassets/public/projects/documents/glup/glup_map_2021_back.pdf
2020	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2021/04/GLUP_Front_April_2021.pdf
2020	back	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2021/04/GLUP_Back_April_2021.pdf
2019	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2020/03/GLUP-Map-June-2019.pdf
2018	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2020/01/GLUP_2018.pdf
2017	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2018/10/GLUP_Map_2017.pdf
2016	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2018/10/GLUP_Map_2016.pdf
2014	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2018/10/GLUP_Map_2014.pdf
2013	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2018/10/GLUP_Map_2013.pdf
2011	front	https://www.arlingtonva.us/wp-content/uploads/sites/31/2014/02/2011-GLUP-Map.pdf
2004	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/09/GLUP-4-27-04-Front-high-resolution.pdf
2004	back	https://www.arlingtonva.us/wp-content/uploads/sites/31/2014/02/2004-GLUP-back.pdf
1996	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1996-GLUP-front.jpg
1996	back	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1996-GLUP-back.jpg
1990	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1990-GLUP-front.jpg
1990	back	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1990-GLUP-back.jpg
1987	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1987-GLUP-front.jpg
1987	back	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1987-GLUP-back.jpg
1983	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1983-GLUP.jpg
1979	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1979-GLUP.jpg
1975	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1975-GLUP.jpg
1966	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1966-GLUP.jpg
1964	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1964-GLUP.jpg
1961	front	https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/31/2014/02/1961-GLUP.jpg
